,BUSINESS_NAME,DBA_NAME,ZIP_CODE,LOCATION,zip
260,DEGANIRA ANAI DIAZ,DIAZ MINI MART,90044-3014,"(33.938, -118.2915)",90044
261,JOSE LUIS RODRIGUEZ,RODRIGUEZ MINI MARKET 99 CENTS & UP,90003-2932,"(33.9645, -118.2738)",90003
262,MRS GOOCHS NATURAL FOOD MARKETS INC,365 BY WHOLE FOODS MARKET,90064-3802,"(34.0231, -118.4376)",90064
263,"ROY PREMIERE PROPERTIES, INC.",SWADESH,90020-3446,"(34.0692, -118.3045)",90020
264,SERGIO ESTRADA AVILA,LUCKY 16 MARKET,90063-3170,"(34.034, -118.2055)",90063
265,SAIFALASLAM SIDDIG BASHIR / ALMINA ROWLANDS,FAMILY MARKET,90044-4109,"(33.9306, -118.2878)",90044
266,KAM SHUNG LAU,LAU'S RANCH MARKET,90012-2823,"(34.0599, -118.2378)",90012
267,PETRA MARKET LLC,PETRA MARKET,90017-2805,"(34.0492, -118.2585)",90017
268,ROSA R TOSCANO,THE BLUE STORE MARKET,90037-3253,"(33.9997, -118.2783)",90037
269,FELIPA MAGDALENA ACABAL,FELIPA MAGDALENA ACABAL,90026-4918,"(34.071, -118.2704)",90026
270,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLEFOODS MARKET,90024-3402,"(34.0617, -118.4477)",90024
271,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLE FOODS MARKET,90017-3813,"(34.0462, -118.2575)",90017
272,QAMAR UL HASSAN,JUNIOR MARKET,90057-1502,"(34.0641, -118.2841)",90057
273,ROXANA E HERNANDEZ,M CARNAL MARKET #2,90011-2652,"(34.0111, -118.2728)",90011
274,MOHAMMED S MEAH,BENS MARKET,90057-3122,"(34.0613, -118.279)",90057
275,SMART & FINAL STORES LLC,SMART & FINAL #511,90031-2222,"(34.0749, -118.2156)",90031
276,SURMA PACIFIC FOODS INC,SURMA PACIFIC FOODS INC,90061-1636,"(33.9164, -118.277)",90061
277,BEATRIZ ARECHIGA,BEATRIZ ARECHIGA,90044-3743,"(33.9861, -118.2914)",90044
278,OSCAR HERNANDEZ,LA TAPATIA MEAT MARKET,90032-1931,"(34.0841, -118.178)",90032
279,JJ3 ENTERPRISES INC,BOB'S MARKET,90026-5163,"(34.0678, -118.2521)",90026
280,SAIFUR ENTERPRISE LLC,HUT BAZAR MINI MARKET,90020-2304,"(34.0692, -118.297)",90020
281,864 S VERMONT AVE INC,ZION MARKET,90005-1523,"(34.0564, -118.2915)",90005
282,ROBERT W YOUNG JR,ROBERT W YOUNG JR,90044-2105,"(33.9578, -118.3002)",90044
283,FAITH CASSELL,LITTLE AFRICA MINI MARKET,90003-3319,"(33.9597, -118.2787)",90003
284,"BANGLUCK MARKET HW, INC.","BANGLUCK MARKET HW, INC.",90027-6131,"(34.1015, -118.303)",90027
285,JOHN DIAZ,GUERAS MINI MARKET,90033-2625,"(34.0503, -118.1984)",90033
286,ONWARD FRANCHISEE GROUP 38388 INC,7-ELEVEN STORE 38388A,90018-4435,"(34.0187, -118.3085)",90018
287,CALIFORNIA FOOD SALES INC.,CALIFORNIA FOOD SALES INC.,90011-3154,"(34.0081, -118.2561)",90011
288,ASHKAR BROTHERS INC,NEW VERNON RANCH MARKET,90058-1729,"(34.0042, -118.2423)",90058
289,THANKYOU MARKET LLC,THANKYOU MARKET LLC,90015-1714,"(34.0378, -118.256)",90015
290,JEHU ALVARADO CEDENO,LA FAMILIA MARKET,90001-3317,"(33.9673, -118.2564)",90001
291,DHANYA INC,7-ELEVEN #32831B | 7-ELEVEN STORE 32831B,90016-6002,"(34.0192, -118.3483)",90016
292,HOTCAKES BAKES /C,HOTCAKES BAKES /C,90066-4908,"(33.9967, -118.4282)",90066
293,DEEB MARKETS,LA MEXICANA MEAT MARKET,90032-1724,"(34.0895, -118.1638)",90032
294,JOSE MARIA LEON,ROY S MARKET,90003-1237,"(33.984, -118.2739)",90003
295,HECTOR HUERTA,BELLA GENERAL SUPPLY,90011-1924,"(34.02, -118.2673)",90011
296,D & P INTERNATIONAL INVESTMENTS INC,EL REY MARKET,90007-3455,"(34.0255, -118.2993)",90007
297,MOHAMED MUSTAFA SALIH,TIMOS MARKET,90043-2900,"(33.9889, 33.9889)",90043
298,CHRISTIAN AGUSTIN HERNANDEZ,MERCADITO LOS HERNANDEZ,90037-2730,"(34.0018, -118.2783)",90037
299,EL POTRILLO MARKET INC,MASHIUR KHAN AND MOHAMMED M HOSSANE,90020-3495,"(34.0689, -118.3041)",90020
300,CLAUDIA MARGARITA VALTIERRA,DASHMART TOBACCO & MINI MART,90004-2154,"(34.0827, -118.2913)",90004
301,SIERRA FOODS INC,SIERRA FOODS INC,90047-3957,"(33.9454, -118.3003)",90047
302,PLACITA MARKET LA OAXAQUENA INC,PLACITA MARKET LA OAXAQUENA,90005-3979,"(34.0597, -118.2864)",90005
303,B & B LIQUOR INC,B & B LIQUOR MARKET,90047-3036,"(33.9644, -118.3089)",90047
304,AHSANI CORPORATION,EL LECHERO MARKET,90057-2417,"(34.0667, -118.2697)",90057
305,MANUELA / PEDRO ZAMBRANO,LIM'S MARKET,90002-3868,"(33.9395, -118.2296)",90002
306,TONY LAM,TONY LAM,90032-2104,"(34.0812, 34.0812)",90032
307,MOTHERS NUTRITIONAL CENTER INC,MOTHERS NUTRITIONAL CENTER INC,90003-2233,"(33.9747, -118.267)",90003
308,DIVINE GRACE CRUZ,KD GENERAL MERCHANDISE,90042-2471,"(34.1188, -118.1983)",90042
309,GALDINA AVILES,MINI MARKET LUNA,90001-2322,"(33.9745, -118.262)",90001
310,BEST PRICE DISTRIBUTORS INC.,QUICKMART LA,90014-2119,"(34.0443, -118.2488)",90014
311,KENK USA INC,TESORO USA #63070,90031-2203,"(34.0736, -118.2177)",90031
312,MARIA JUAN MIGUEL,DOWNTOWN SALAD PLACE,90015-1550,"(34.0417, -118.2551)",90015
313,EL VALLE OAXAQUENO INC,EL VALLE OAXAQUENO,90006-4541,"(34.0442, -118.2915)",90006
314,GILMA MARISOL BERMUDEZ DE MARTINEZ,DAVID & JASON MINI MARKET,90018-3512,"(34.0331, -118.3082)",90018
315,MOTHERS NUTRITIONAL CENTER INC,MOTHERS NUTRITIONAL CENTER INC,90003-3418,"(33.96, -118.2695)",90003
316,MARIA TORRES GARCIA,MARIAA MINI STORE,90011-6027,"(33.9933, -118.2562)",90011
317,IRMA BENITEZ,IRMA BENITEZ,90006-2918,"(34.0523, -118.2866)",90006
318,PRINCESS STORE LLC,PRINCESS STORE LLC,90057-1011,"(34.0712, 34.0712)",90057
319,FAROG ARMAN,FAROG ARMAN,90044-4832,"(33.9575, -118.2912)",90044
320,JAMES O HICKS / MARY J HICKS,J/M MARKET,90044-5417,"(33.9846, -118.287)",90044
321,RAJEEV WALIA ENTERPRISES /C,7-ELEVEN STORE 20396G,90006-1701,"(34.0558, -118.2891)",90006
322,SOMANG CORPORATION,FORTUNA MARKET,90031-1916,"(34.085, -118.2114)",90031
323,GOLD LEAF AUTO SALES LLC,GOLD LEAF FAMILLY MARKET,90003-3922,"(33.9516, -118.2828)",90003
324,LISANDRA REYES,DOMINICS 1,90011-5527,"(34.0172, -118.2555)",90011
325,JOSE PONCE BRAVO,B J MARKET,90003-4321,"(0.0, 0.0)",90003
326,"M & K GENERAL MERCHANDISE, LLC",BIG APPLE,90014-3452,"(34.0437, -118.2497)",90014
327,I'M OBSESSED WITH LLC,I'M OBSESSED WITH LLC,90064-2109,"(34.0411, -118.4298)",90064
328,HYEYOUNG PARK,CICI'S CUPCAKES,90013-1361,"(34.0483, -118.2465)",90013
329,1355 FLORENCE INC,1355 FLORENCE INC,90044-2566,"(33.9745, -118.2993)",90044
330,VILMA MORALES,LAS CHIQUITAS,90037-3840,"(33.9955, -118.2739)",90037
331,MACK N MINAS LLC,MAMBA MART,90015-3108,"(34.034, -118.2564)",90015
332,JUAN FELIX ZARAT PEREZ,TIENDA ALFA Y OMEGA,90037-1935,"(34.0077, -118.2912)",90037
333,EPIFANIA LEAL ROMERO,XOCHILT MARKET,90037-2208,"(34.0073, -118.2783)",90037
334,GUADALUPE VARGAS,DIANA,90063-2754,"(34.0483, -118.1924)",90063
335,FOUNTAIN MARKET INC,MARKET PLUS,90028-8311,"(34.0943, -118.3204)",90028
336,CHANDI & SON INC,LEES MARKET & LIQUOR,90007-1906,"(34.0337, -118.2807)",90007
337,GLORIA ANN LOPEZ,BILO MARKET,90041-2813,"(34.1329, -118.202)",90041
338,PEDRO ALVAREZ,SUPER TIENDA GUATEMALA 99 CENT,90017-1001,"(34.0569, -118.2691)",90017
339,LADY DIANA COLCHADO,LIAM'S MARKET,90044-4838,"(33.9534, -118.2912)",90044
340,SSS REALM CORPORATION,7-ELEVEN STORE 34535A,90002-1124,"(33.9601, -118.2563)",90002
341,ZAYNA LLC,BABA'S MINI MARKET,90013-2101,"(34.0429, -118.2453)",90013
342,CRISTHIAN MINELI VARGAS MIRANDA,ONE DOLLAR UP STORE,90047-3548,"(33.9562, -118.309)",90047
343,YONG HWA PARK,D&S MARKET,90044-2051,"(33.9547, -118.3002)",90044
344,SOFT SPIRITS LLC,SOFT SPIRITS LLC,90026-2196,"(34.0855, -118.275)",90026
345,JOSE LUIS RIVERA,99 & UP,90001-3635,"(33.9599, -118.2589)",90001
346,DOMENO & ASSOCIATES /C,7 ELEVEN STORE 18837E,90034-5406,"(34.0251, -118.4119)",90034
347,HESHAM ELBASIOUNY,E MARKET,90059-2519,"(33.9299, -118.2459)",90059
348,PHILLIP R ALLEN,SILVER DOLLAR LIQUOR CORPORATION,90047-5429,"(33.9599, -118.3057)",90047
349,CHONG CHOL/MICHELL KIM,7-ELEVEN STORE 18463C,90038-2702,"(34.0872, -118.3266)",90038
350,JOSE LUIS RODRIGUEZ,RODRIGUEZ MARKET,90001-1131,"(33.9846, -118.2564)",90001
351,ISIDRO SALVADOR LUIS,MARISELA MINI MARKET,90006-5240,"(34.0435, -118.3042)",90006
352,MARIA GUEVARA,M & M MINI MARKET 99 CENT STORE,90018-1446,"(34.0399, -118.3126)",90018
353,7-ELEVEN INC,7-ELEVEN STORE 38482H,90028-6210,"(34.1012, -118.3313)",90028
354,SUSANA RIOS,WOODS & GOODS MINI MART,90018-3433,"(34.0253, -118.3101)",90018
355,LILLIANA JANET RUIZ,LILLIANA JANET RUIZ,90043-4670,"(33.9766, -118.3318)",90043
356,JAIME SANCHEZ,LUPITA'S MARKET | LUPITAS MARKET,90003-1166,"(33.9874, -118.2782)",90003
357,MARIA E SALINAS,ALVIN'S MINI MARKET,90011-4525,"(33.9962, -118.2655)",90011
358,MAGDALENO CABRERA,SOFI MINI MARKET,90011-5645,"(34.0097, -118.2652)",90011
359,LEBBANA BAKING COMPANY LLC,LEBBANA BAKING COMPANY LLC,90021-1315,"(34.0358, -118.2299)",90021
360,ARTURO ZATARAIN,MARKETITA DE MAZATLAN,90033-4002,"(34.0442, -118.2109)",90033
361,CIPRIANO ALBERTO RIVAS CASTANEDA,AVILES MARKET,90005-1452,"(34.0596, -118.2907)",90005
362,AHRO WILLIAMS JR,A W MARKET,90062-1830,"(34.0037, -118.3061)",90062
363,GUSTAVO OREA TENORIO,GUSIE'S MARKET & 99 CENT,90003-3012,"(33.9622, -118.2694)",90003
364,JS INTERNATIONAL LA INC,7-ELEVEN STORE 18867D,90045-4419,"(33.9595, -118.3852)",90045
365,AMESMAR LLC,PLAZA OAXACA,90066-4405,"(34.0039, -118.4309)",90066
366,NANVAEI & KABAB SHATER ABASS INC,NANVAEI & KABAB SHATER ABASS INC,90024-4911,"(34.0548, -118.4415)",90024
367,SANDEEP SINGH KANG,LAS FLORES MARKET & PHOTO,90032-1939,"(34.0866, -118.1783)",90032
368,GOLDEN GROCERY MARKET,GOLDEN MARKET,90047-2252,"(33.9739, -118.3089)",90047
369,NEW MAIN STREET INC,SUPER BARGAIN MARKET,90061-2028,"(33.9373, -118.2738)",90061
370,GERMAN RODAS,EL TURCO MEAT MARKET,90006-2700,"(34.0507, -118.2916)",90006
371,BROADWAY CENTURY MART INC,7-ELEVEN STORE 39802B,90003-4125,"(33.9459, -118.2787)",90003
372,BABY'S WORLD NUTRITION CENTER INC,BABY'S WORLD NUTRITION CENTER,90001-3918,"(33.9625, 33.9625)",90001
373,ISAURA MUNOZ,NIETOS MARKET,90023-4217,"(34.0172, -118.2198)",90023
374,DESHI FOODS INC,DESHI FOOD AND GROCERIES,90020-2304,"(34.069, -118.2969)",90020
375,SUPER JORDAN INC,FARID AHMAD KHANLOU/JORDAN MARKET,90024-4911,"(34.0546, -118.4412)",90024
376,"5TH STREET MARKET, INC.","5TH STREET MARKET, INC.",90013-1416,"(34.0463, -118.248)",90013
377,CHUNG LE THANH,LA FAVORITA MARKET,90063-3144,"(34.032, -118.1982)",90063
378,NORTHGATE GONZALEZ LLC,NORTHGATE MARKET # 38,90011-5240,"(33.9893, -118.2586)",90011
379,GENARO BAUTISTA,GENARO BAUTISTA,90011-1023,"(34.0252, -118.2628)",90011
380,C & C MARKET INC,C/C MARKET,90021-1504,"(34.0379, -118.2428)",90021
381,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,90003-3905,"(33.9537, -118.2826)",90003
382,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,90003-3522,"(33.96, -118.2689)",90003
383,SANDRA ZAMORA-ESPINDOLA,ZOE MINI MARKET,90003-1843,"(33.9797, -118.2781)",90003
384,SUPER CENTER CONCEPTS INC,SUPERIOR GROCERS,90011-1235,"(34.0232, -118.2516)",90011
385,TRADER JOE'S CO,TRADER JOES MARKET #55,90041-1441,"(34.1395, -118.2001)",90041
386,MONIQUE WADE,TNN DISCOUNT MARKET,90003-3922,,90003
387,S M GROUP OIL INC,S M GROUP OIL INC,90025-4538,"(34.049, -118.4412)",90025
388,ROY S CHOI,EL BAJIO MARKET,90037-2733,"(34.0028, -118.2739)",90037
389,YANET J RAMAS,YANET J RAMAS,90032-1617,"(34.0883, -118.1727)",90032
390,JOSE A. MERINO ORTIZ,JOSE A. MERINO ORTIZ,90011-4714,"(33.9966, -118.2561)",90011
391,AMGC ENTERPRISES INC,GROCERY OUTLET OF HIGHLAND PARK,90042-4117,"(34.1086, -118.1964)",90042
392,PONCIANO PEREZ MELCHOR,PEREZ  MINI MARKET #2,90037-1035,"(34.0091, -118.2739)",90037
393,ALEJANDRO LOPEZ,JESSE MARKET,90022-2531,,90022
394,NOWHERE VENICE CORP,EREWHON,90291-0000,"(0.0, 0.0)",90291
395,FRANCISCO J ESPINOSA,B & J COMMUNITY MINI MARKET,90003-3141,"(33.9619, -118.2651)",90003
396,EUNG SUK YANG,SUN MOON MARKET,90007-1501,"(34.0345, -118.2944)",90007
397,HEIDI KYUNG LEE,WEST LIQUOR,90001-3632,"(33.9602, -118.2629)",90001
398,MARUKAI CORPORATION,TOKYO CENTRA,90064-1162,"(34.0292, -118.4504)",90064
399,AARON PEREZ,WASHINGTON MINI MARKET,90018-1252,"(34.0398, -118.3213)",90018
400,CLAUDIA AREVALO,GISELLE MINI MARKET,90011-1041,"(34.0274, -118.2628)",90011
401,CURTIS LORENZO WYATT JR,TEAM WYATT,90059-1808,"(33.9329, -118.2461)",90059
402,"H5117 EAGLE ROCK, LLC",LA RAIZ,90041-1114,"(34.1395, -118.2144)",90041
403,SAAN MAAN INC,7-ELEVEN STORE 23949B,90025-2603,"(34.0398, -118.4629)",90025
404,FLORINA GALENO MENDOZA,FLOR MINI MARKET,90011-3304,"(34.0087, -118.2493)",90011
405,ALADIN SWEETS & MARKET INC,ALADIN SWEETS & MARKET,90004-5904,"(34.0716, -118.2916)",90004
406,JASSON ODILDER MARTINEZ,BUBBAS MARKET,90037-2928,,90037
407,RANDOLPH E LOWE,R ANDYS MINI MARKET | RANDY'S MINI MARKET,90002-3124,"(33.9431, -118.2377)",90002
408,BRYANT CANO,LA WEIGAND MARKET,90002-3868,"(33.939, -118.2294)",90002
409,OMAR BYALY,ALI MARKET & TOBACCO,90021-1450,,90021
410,SMART & FINAL STORES LLC,SMART & FINAL #364,90006-3809,"(34.0472, -118.3046)",90006
411,PICO KOSHER DELI ENTERPRISES INC,PICO KOSHER DELI ENTERPRISES INC,90035-3302,"(34.0546, -118.3845)",90035
412,THE BOTTLE BAR INC,THE BOTTLE BAR INC,90016-3006,"(34.0317, -118.335)",90016
413,DREAM MARKET INC,DREAM MARKET INC,90021-2001,"(34.0319, -118.2441)",90021
414,HA HAN,H & L AQUA WATER,90032-3781,"(34.0627, -118.1877)",90032
415,AMERICAN PERSONNEL SERVICES INC,CHEVRON STATIONS INC #1864,90037-2002,"(34.0111, -118.2827)",90037
416,"H - H & S ENTERPRISES, INC.",7-ELEVEN STORE 26747B,90028-7178,"(34.0979, -118.3352)",90028
417,EDWIN A HERRERA,MARVYN'S MARKET,90029-3730,"(34.0835, -118.3046)",90029
418,SMART & FINAL STORES LLC,SMART & FINAL #444,90019-4271,"(34.0487, -118.3357)",90019
419,PASEO CHAPIN CORP,PASEO CHAPIN RESTAURANT,90057-4002,"(34.057, -118.2781)",90057
420,JOSE RIOS SOTELO,JOSE RIOS SOTELO,90044-4838,,90044
421,RAJAA SAMIH ZAYED,STOP & SHOP MARKET,90011-4227,"(33.998, -118.2521)",90011
422,FLORE MINI MARKET INC,FLORE MINI MARKET INC,90006-3901,"(34.0474, 34.0474)",90006
423,MAXIMO/CONCEPCION VILLALTA,GOLFO DE FONSECA MARKET,90029-3517,"(34.0859, -118.2917)",90029
424,DOMINGUEZ MARKET LLC,DOMINGUEZ MARKET LLC,90037-1035,"(34.0096, 34.0096)",90037
425,SUMMER IBRAHIM,SUMMERS MARKET,90044-2634,"(33.979, -118.3)",90044
426,JAIME RODOLFO MUNOZ MENDEZ,JONNYS MARKET,90011-2025,"(34.0188, 34.0188)",90011
427,JULIA MI LEE,D J MARKET,90005-1815,"(34.0577, -118.2934)",90005
428,SOON GER JUNG/EUN HEE JUNG,DALY MARKET,90031-2228,"(34.0711, -118.2155)",90031
429,NUEVA CORONA MARKET LLC,JUAN CISNEROS JR.,90033-3412,"(34.0466, -118.2168)",90033
430,RALPHS GROCERY CO,RALPHS STORE #198,90035-1204,"(34.0551, -118.3981)",90035
431,SHARMEENS ENTERPRISES INC,SHORT STOP # 33,90068-1302,"(34.1298, -118.3492)",90068
432,"NOWHERE SILVERLAKE, LLC",EREWHON SILVERLAKE,90029-3883,"(34.0921, -118.2825)",90029
433,"BIG LOTS STORES-PNS, LLC",BIG LOTS #4600 | BIG LOTS STORE INC,90034-4203,"(34.0259, -118.4274)",90034
434,MARIA SANTOS,ANGELICAS MARKET,90003-3810,"(33.9554, 33.9554)",90003
435,FREDY G PEDRO,MARY MINI MARKET,90037-3213,"(33.9972, -118.2783)",90037
436,GALCO OLD WORLD GROCERY /C,GALCO OLD WORLD GROCERY,90042-2617,"(34.1188, -118.1936)",90042
437,CHOWDHURY AND SHIQDER RETAILERS INC,ADAMS LIQUOR,90016-3002,"(34.0322, -118.3412)",90016
438,ANASTACIO CERVANTES JR,ACAPULCO TORTILLERIA,90006-4501,"(34.0472, -118.2916)",90006
439,EK OM INC,7-ELEVEN STORE 39759A,90057-3213,"(34.0621, -118.2815)",90057
440,MARIO IBARRA MONTALVO,ANGELES BAKERY # 3,90057-3101,"(34.0583, -118.2717)",90057
441,YEH WORLDWIDE INC,YOUN EE HUH,90005-2902,"(34.0575, -118.3068)",90005
442,SAYDA BARRERA,ONE STOP SMOKE SHOP,90061-2055,"(33.9364, -118.2738)",90061
443,AIDA E LOPEZ,AIDA E LOPEZ,90033-2512,"(34.0518, -118.2019)",90033
444,LORENZA REYES DE JESUS,REYES MINI MARKET,90011-2010,"(34.0176, -118.2637)",90011
445,JULIA GARCIA JUAREZ,JULIE'S MINI MARKET,90062-2324,"(33.9998, -118.3088)",90062
446,LIZBETH DEL CARMEN NAVARRO GOMEZ,CHALLIO'S MEAT MARKET & DELI,90011-5627,"(34.0038, -118.2652)",90011
447,MAICON LEONIDAS CIFUENTES,M& J MINI MARKET,90006-2918,"(34.0526, -118.2863)",90006
448,MANUEL A ORTEGA / MAXIMIANA BARAJAS,TODOS MARKET,90018-2747,"(34.0326, -118.3057)",90018
449,HOLLYWOOD SUPER MARKET INC,YUCCA SUPERMARKET,90028-5001,"(34.1043, -118.3299)",90028
450,LA FLAMA AT CULVER CITY INC.,LA FLAMA AT CULVER CITY INC.,90034-6213,"(34.0187, -118.4077)",90034
451,EL PROGRESO FOOD OUTLET,EL PROGRESO FOOD OUTLET,90023-3410,"(34.0237, -118.2192)",90023
452,SAHNI ENTERPRISES,7-ELEVEN STORE 18534C,90028-6719,"(34.1016, -118.3149)",90028
453,MARIA ANTONIA HERNANDEZ,LATINOS GOATEMALTECA MARKET,90006-3910,"(34.0472, -118.301)",90006
454,ALBERTO H NAVA,BETOS MARKET,90006-5115,"(34.0435, -118.3077)",90006
455,SERGIO RUIZ-MOYA,RUIZ MINI MARKET,90011-4046,"(33.9989, -118.2652)",90011
456,MOHAMMED KAGZI,7-ELEVEN STORE 34979A,90026-2431,"(34.0831, -118.2599)",90026
457,EL RANCHO 3 STARS INC,EL RANCHO MARKET,90026-3108,"(34.0777, -118.2634)",90026
458,POWERED VENTURES INC,JIGHAO LIN,90024-3401,"(34.0607, -118.447)",90024
459,"COOKBOOK MARKET HIGHLAND PARK, LLC",COOKBOOK MARKET,90042-4718,"(34.1094, -118.1938)",90042
460,"COOKBOOK MARKET ECHO PARK, LLC",COOKBOOK MARKET,90026-2670,"(34.0813, -118.2549)",90026
461,OFCORC INC,OFCORC INC,90025-3119,"(34.0464, -118.4485)",90025
462,JUN YEN LIAW/WEN-YIN JAO LIAW,FRIENDLY MARKET,90023-2128,"(34.0254, -118.2133)",90023
463,JOSE F COTA GERALDO/ESPERANZA GERALDO,GERALDO'S MEAT MARKET INC,90059-1245,"(33.9334, -118.239)",90059
464,SUPER TOCHAL INC,TOCHAL MARKET,90024-4912,"(34.055, -118.4415)",90024
465,MESFIN A TADESSE,54TH ST MARKET,90043-2643,"(33.9931, -118.3228)",90043
466,GAJU MARKET CORPORATION,CALIFORNIA MARKET,90020-4199,,90020
467,LEON'S AEL INC,LEONS MINI MARKET,90003-2131,"(33.9754, -118.2739)",90003
468,VICTORIA'S MARKET INC,VICTORIA'S MARKET INC,90044-1579,"(33.9335, -118.2923)",90044
469,LUCILLE DE BELEN,LUCILLE DE BELEN,90057-1120,,90057
470,ARCOIRIS 98 CENT STORE INC,JAVIER FRANCISCO CHAUAX ALVAREZ,90063-2717,"(34.0499, -118.1964)",90063
471,DING QUAN ZHANG,DING QUAN ZHANG,90012-1080,"(34.0736, -118.2309)",90012
472,JESUS B/TERESA RAMIREZ,J T RAMIREZ MARKET,90023-1321,"(34.0348, -118.2153)",90023
473,WILLIAM YOUNG WON KIM,SHOW PLACE LIQUOR,90019-6116,"(34.0435, -118.3213)",90019
474,TSEHAYE ENTERPRISES LLC,THE SUPERMARKET 98 PLUS,90018-2628,"(34.0315, -118.3089)",90018
475,HMY 0720,S_MART WHOLESALES & RETAILES,90037-3218,"(33.999, 33.999)",90037
476,TRIPLE 7 LIQUOR STORE INC,J/F LIQUOR,90015-2408,"(34.044, -118.2755)",90015
477,MARICELA AVELAR,ANA'S MINI MARKET,90037-3848,"(33.9947, -118.2783)",90037
478,EL VALLE OAXOAQUENO INC,EL VALLE OAXAQUENO MARKET,90006-4541,"(34.0442, -118.2915)",90006
479,GIL PEREZ SERRANO,GIL PEREZ SERRANO,90011-3439,"(34.0038, -118.2686)",90011
480,PARK FIERRO LLC,MILKFARM,90041-1222,"(34.139, -118.2126)",90041
481,THE WARD-WALLACE FAMILY LLC,THE WARD-WALLACE FAMILY LLC,90062-1120,"(34.0114, -118.3094)",90062
482,SMART & FINAL STORES LLC,SMART & FINAL #823,90002-0002,"(33.9493, -118.2462)",90002
483,CAROL KYUNG LEE,CAROL KYUNG LEE,90025-1506,"(34.0486, -118.4619)",90025
484,CENTRAL MINI MARKET INC,CENTRAL MINI MARKET,90001-2422,"(33.9736, -118.2564)",90001
485,HAN NAM CHAIN USA INC,HAN NAM CHAIN SUPERMARKET,90006-2633,"(34.0526, -118.2931)",90006
486,GHSA ENTERPRISE INC.,7-ELEVEN STORE 18820D,90034-6915,"(34.0134, -118.4172)",90034
487,RUMGONZ INC,FOUNTAIN MINI MARKET,90029-1654,"(34.0954, -118.2954)",90029
488,ALEX WALDEMAR SANDOVAL DE LEON,LA TIENDITA E3,90001-3925,"(33.9602, -118.2455)",90001
489,BLANCA E CAMPOS,LA CHINITA STORE,90057-4105,"(34.0554, -118.275)",90057
490,VICTORIA'S MARKET INC,VICTORIA MARKET # 2,90002-2412,"(33.9484, -118.2391)",90002
491,WICHOS INC,TORITO MARKET,90059-1326,"(33.9372, -118.233)",90059
492,HILARIO ROSADO TENORIO,HILLARY MINI MARKET,90011-2943,"(34.0097, -118.2652)",90011
493,A-S-N INC,A-S-N INC,90066-8299,"(34.0045, -118.4302)",90066
494,FRANCISCA SILERIO & RIGOBERTO ORELLANA,LESLY MINI MARKET & 99 CENT,90003-1848,"(33.9763, -118.2783)",90003
495,HOSSAIN UDDIN SIKDER,SHYREAS LIQUOR,90047-4226,"(33.9454, -118.3081)",90047
496,JOSE LUIS SANTOS,SANTOS PRODUCE,90026-5652,"(34.0659, -118.2538)",90026
497,MYUNG WON CHOI,WHITLEY HEIGHTS MARKET,90068-2997,"(34.1051, -118.3374)",90068
498,LWIN OMAR INC.,7-ELEVEN STORE 37723B,90057-4016,,90057
499,CUAUHTEMOC/REYNA I. VALLEJO,SAN DIEGO MARKET,90015-2029,"(34.0469, -118.2755)",90015
500,RAZAK AYOOLA,TOYIN MINI MARKET,90062-1611,"(34.0037, -118.3079)",90062
501,DESS WOLDEMARIAM/FASIL ASSEFA,7-ELEVEN STORE 25330C,90016-5013,"(34.0216, -118.372)",90016
502,CHONG OKJI / IL HAE JI,QUICK PICK MARKET,90066-3902,"(34.0085, -118.4246)",90066
503,RALPHS GROCERY CO,RALPHS GROCERY CO #39,90036-3023,"(34.0697, -118.344)",90036
504,BONG KEUN KWAK/SOOK KWAK,BEST MARKET,90037-2536,"(34.0057, -118.2871)",90037
505,YRT INC,FRANKLIN 76,90028-5522,"(34.1052, -118.3212)",90028
506,BENJAMIN SANCHEZ,SINAI MARKET,90062-2601,"(33.9932, -118.3096)",90062
507,JASON IN,NICOS MARKET,90033-1518,"(34.0579, -118.1964)",90033
508,MARIA D HERCULES,WATT'S H. P. MEAT MARKET,90059-1141,"(33.9388, -118.2462)",90059
509,DAISY CHAVEZ,DAISY MARKET,90026-2116,"(34.0855, -118.2748)",90026
510,FORTUNE COMMERCIAL RESOURCES INC,SEAFOOD CITY SUPERMARKET,90004-5905,"(34.072, -118.2916)",90004
511,MARIA ELENA CORTEZ,EL RANCHITO MARKET,90002-2301,"(33.9533, -118.2464)",90002
512,"H - H & S ENTERPRISES, INC.",7-ELEVEN STORE 19399C,90035-4245,"(34.0493, -118.3851)",90035
513,EULALIA FRANCISCO,IRIS SHOP,90037-2732,"(34.0037, -118.2739)",90037
514,MANCHESTERSC INC,MANCHESTERSC MINI MARKET,90047-2953,"(33.9603, -118.3159)",90047
515,BRYAN PACHECO,E & M MEAT MARKET,90059-1022,"(33.9377, -118.2541)",90059
516,S S MULTANI INC,CENTRO MERCADO LATINO,90062-1813,"(34.0041, -118.3034)",90062
517,OSCAR R CASTRO,OSCAR R CASTRO,90003-3340,"(33.9579, -118.2782)",90003
518,TARA'S MARKET,TARA AND JB'S MARKET,90066-5272,,90066
